id,country
1100,Germany
1101,Australia
1102,UK
1103,India
1104,China
1105,USA
1106,France
1107,Germany
1108,Singapore
1109,France
1110,Australia
1111,Germany
1112,Australia
1113,USA
1114,Singapore
1115,Germany
1116,Singapore
1117,India
1118,France
1119,China
1120,USA
1121,Singapore
1122,UK
1123,India
1124,Japan
1125,Singapore
1126,India
1127,Germany
1128,UK
1129,China
1130,Japan
1131,France
1132,Singapore
1133,UK
1134,Singapore
1135,Australia
1136,China
1137,USA
1138,France
1139,Japan
1140,China
1141,China
1142,USA
1143,Singapore
1144,Japan
1145,China
1146,Australia
1147,France
1148,China
1149,Singapore
1150,India
1151,Singapore
1152,UK
1153,India
1154,Japan
1155,France
1156,China
1157,UK
1158,Australia
1159,Singapore
1160,France
1161,UK
1162,India
1163,India
1164,France
1165,China
1166,Singapore
1167,France
1168,Singapore
1169,Australia
1170,Japan
1171,USA
1172,Japan
1173,Australia
1174,USA
1175,Germany
1176,UK
1177,UK
1178,Japan
1179,UK
1180,China
1181,Singapore
1182,USA
1183,France
1184,Australia
1185,Japan
1186,China
1187,China
1188,China
1189,Germany
1190,Singapore
1191,Singapore
1192,Australia
1193,Singapore
1194,Germany
1195,Singapore
1196,Australia
1197,USA
1198,China
1199,France
1200,Australia
1201,Australia
1202,Japan
1203,France
1204,Germany
1205,China
1206,France
1207,France
1208,China
1209,Singapore
1210,Japan
1211,India
1212,Singapore
1213,UK
1214,Singapore
1215,Singapore
1216,Singapore
1217,China
1218,China
1219,UK
1220,China
1221,China
1222,Singapore
1223,UK
1224,France
1225,Germany
1226,Australia
1227,USA
1228,France
1229,Australia
1230,USA
1231,China
1232,China
1233,France
1234,China
1235,Singapore
1236,USA
1237,USA
1238,France
1239,UK
1240,Germany
1241,Germany
1242,USA
1243,USA
1244,Germany
1245,China
1246,Singapore
1247,USA
1248,China
1249,USA
1250,Singapore
1251,China
1252,Australia
1253,China
1254,Singapore
1255,Japan
1256,Australia
1257,Japan
1258,France
1259,Japan
1260,UK
1261,Germany
1262,USA
1263,Germany
1264,Japan
1265,Germany
1266,France
1267,Japan
1268,India
1269,UK
1270,China
1271,Germany
1272,Germany
1273,Germany
1274,France
1275,Australia
1276,USA
1277,Australia
1278,USA
1279,Germany
1280,UK
1281,USA
1282,USA
1283,USA
1284,Japan
1285,Singapore
1286,UK
1287,Singapore
1288,India
1289,Germany
1290,India
1291,China
1292,Japan
1293,UK
1294,Australia
1295,USA
1296,Singapore
1297,Germany
1298,Japan
1299,India
1300,Singapore
1301,UK
1302,India
1303,France
1304,Australia
1305,China
1306,France
1307,Australia
1308,China
1309,USA
